category,Unique Users,mobile_brand_name,mobile_model_name,operating_system,operating_system_version,browser,language
desktop,183,,,,,,
mobile,5153,,,,,,
,7,,moto g(50) 5G,,,,
,13,,moto g(60),,,,
,6,,moto g(60)s,,,,
,7,,moto g(8) plus,,,,
,5,,moto g(9) plus,,,,
,7,,moto g(9) power,,,,
,16,,moto g04s,,,,
,11,,moto g13,,,,
,14,,moto g23,,,,
,2,,moto g71 5G,,,,
,5019,,,Android,,,
,18,,,Linux,,,
,10,,,Macintosh,,,
,155,,,Windows,,,
,138,,,iOS,,,
,678,,,,Android 10,,
,168,,,,Android 10.0.0,,
,615,,,,Android 11,,
,281,,,,Android 11.0.0,,
,430,,,,Android 12,,
,260,,,,Android 12.0.0,,
,752,,,,Android 13,,
,510,,,,Android 13.0.0,,
,738,,,,Android 14,,
,472,,,,Android 14.0.0,,
,1,,,,Android 4.4.2,,
,1,,,,Android 5.0,,
,1,,,,Android 6.0,,
,1,,,,Android 7.0,,
,4,,,,Android 7.0.0,,
,1,,,,Android 7.1.1,,
,4,,,,Android 8.0.0,,
,19,,,,Android 8.1.0,,
,56,,,,Android 9,,
,27,,,,Android 9.0.0,,
,7,,,,Macintosh Intel 10.15,,
,1,,,,Macintosh Intel 11.7,,
,1,,,,Macintosh Intel 12.7,,
,1,,,,Macintosh Intel 15.1,,
,89,,,,Windows 10,,
,62,,,,Windows 11,,
,3,,,,Windows 7,,
,1,,,,Windows 8.1,,
,1,,,,iOS 15.4.1,,
,1,,,,iOS 15.5,,
,2,,,,iOS 15.8.3,,
,1,,,,iOS 16.1,,
,1,,,,iOS 16.1.2,,
,1,,,,iOS 16.2,,
,4,,,,iOS 16.3,,
,1,,,,iOS 16.6,,
,1,,,,iOS 16.7,,
,7,,,,iOS 16.7.10,,
,1,,,,iOS 16.7.3,,
,1,,,,iOS 16.7.5,,
,1,,,,iOS 17.1,,
,2,,,,iOS 17.4.1,,
,1,,,,iOS 17.5,,
,4,,,,iOS 17.5.1,,
,8,,,,iOS 17.6,,
,24,,,,iOS 17.6.1,,
,8,,,,iOS 17.7,,
,2,,,,iOS 17.7.1,,
,10,,,,iOS 18.0,,
,25,,,,iOS 18.0.1,,
,27,,,,iOS 18.1,,
,1,,,,iOS 18.1.0,,
,2,,,,iOS 18.2,,
,1,,,,iOS 18.2.0,,
,3047,,,,,Android Webview,
,1972,,,,,Chrome,
,25,,,,,Edge,
,10,,,,,Firefox,
,5,,,,,Opera,
,100,,,,,Safari,
,29,,,,,Safari (in-app),
,149,,,,,Samsung Internet,
,9,,,,,,en
,1,,,,,,en-au
,1,,,,,,en-ca
,2,,,,,,en-co
,2,,,,,,en-gb
,44,,,,,,en-us
,115,,,,,,es
,323,,,,,,es-419
,1,,,,,,es-al
,43,,,,,,es-ar
,1,,,,,,es-bo
,2,,,,,,es-cl
,861,,,,,,es-co
,1,,,,,,es-ec
,683,,,,,,es-es
,1,,,,,,es-la
,73,,,,,,es-mx
,1,,,,,,es-pe
,3184,,,,,,es-us
,2,,,,,,es-ve
,2,,,,,,fr
,1,,,,,,fr-fr
,2,,,,,,hu
,1,,,,,,id
,2,,,,,,nl-be
,1,,,,,,nl-nl
,2,,,,,,pt
,1,,,,,,sv-se
,1,,,,,,zh-cn
