name,Unique Users
CO_POSPAGO_COL-F3-MAG-ESCALERA-PORTABILIDAD-TIGO-B2C_24-10-07_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-V1-TIPIFICACIONES-B2C_24-11-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-V1-BQ-B2C_24-11-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-PORTABILIDAD-B2C_24-09-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-PORTABILIDADES-CANCELADAS-B2C_24-11-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-V2-BQ-B2C_24-10-28_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-MAG-ESCALERA-V2-BQ-B2C_24-11-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-SP-ESCALERA-A-PORTA-TELEVENTAS-CLARO-A-B2C_24-08-15_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-SP-PORTABILIDAD-B2C_24-10-28_SMS_VNT_0_NA,1
CO_HOGAR_COL-AFILIDADO-TABOOLA-AUTOMATICO-B2C_24-01-01_DIS_VNT,1
CO_CONVERGENCIA_COL-POSPAGO-MOVISTAR-TOTAL-FIBRA-SIN-POSPAGO-CIUDADES-CARTAGENA-B2C_24-05-18_SMS_VNT_0_NA,1
App_pushapp_ter_Addi_julio,1
CO_HOGAR_COL-AUTOMATICO-BING-B2C_23-09-01_SEM_VNT_AON_ABT_BRAND,1
CO_HOGAR_COL-F2-MAG-20X12-NKD-CONV-CONVERGENCIA-RESTO-DEL-PAIS-B2C_24-11-01_SMS_VNT_0_NA,1
CO_HOGAR_COL-BLACKFRIDAY-B2C_23-11-22_SOC_TRF,1
CO_HOGAR_COL-F3-MAG-20X12-NKD-POTENCIALES-RESTO-DEL-PAIS-B2C_24-10-07_SMS_VNT_0_NA,1
CO_HOGAR_COL-FIBRA-ASISTIDA-B2C_23-06-14_SEM_LDS-WEB_AON_RMKT_BRAND,1
CO_HOGAR_COL-OFERTAS-FIBRA-B2C_23-01-01_SOC_TRF,1
CO_HOGAR_COL-OFERTAS-FIBRA-B2C_23-01-01_DIS_TRF,1
CO_HOGAR_COL-AUTOMATICO-B2C_23-09-01_SEM_VNT_AON_ABT_CONQUER,1
CO_HOGAR_COL-OFERTAS-FIBRA-DESPLIEGUES-B2C_23-05-01_DIS-DIS_VNT,1
App_Boton_Home_Fibra_Obsequio,1
App_Popup_ter_madres_abril,1
App_Tab_Accesorios,1
App_Tab_Compra_Tu_Celu_Cuotas,1
CO_HOGAR_COL-OFERTAS-FIBRA-TEST-B2C_23-01-01_DIS_TRF,1
CO_HOGAR_COL-OFERTAS-FIBRA-DESPLIEGUES-GDN-B2C_24-07-01_DIS-DGEN_TRF,1
CO_HOGAR_COL-OFERTAS-IMPRESSION-SHARE-B2C_23-03-06_SEM_TRF_AON_ABT_BRAND,1
CO_HOGAR_PUB-CAMPANA-MOVISTAR-TOTAL-MAS-COMBO-B2C_23-08-28_VID_ALC,1
CO_HOGAR_COL-VENTA-AUTOMATICA-MAGENTO-FIBRA-B2C_24-05-01_SOC_VNT,1
CO_POSPAGO_COL-018000-PLAN-ILIMIDATOS-TIGO-B2C_23-11-25_SMS_VNT_0_NA,1
CO_MARCA_COL-PUREBRAND-B2C_21-01-01_SEM_LDS-WEB_AON_ABT_BRAND,1
CO_POSPAGO_COL-ESCALERA-POSPAGO-CLARO-1-B2C_24-04-13_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-C2C-TIPIFICACIONES-B2C_24-10-01_SMS_VNT_0_NA,1
CO_POSPAGO_COL-ESCALERA-POSPAGO-OTROS-1-B2C_24-04-20_SMS_VNT_0_NA,1
CO_POSPAGO_COL-ESCALERA-POSPAGO-MAXMARCACIONES-1-RMK-B2C_24-02-03_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F1-SP-ESCALERA-TIPIFICACIONES-B2C_24-08-03_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-HALLOWEEN-PORTABILIDAD-B2C_24-10-07_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-HALLOWEEN-BQ-B2C_24-10-24_SMS_VNT_0_NA,1
CO_POSPAGO_COL-F2-HALLOWEEN-PORTABILIDAD-TIGO-B2C_24-10-07_SMS_VNT_0_NA,1
CO_HOGAR_COL-SEGUNDO-CONTACTO-FLUJO-CONVERGENCIA-FIBRA-B2C_24-07-08_EMAIL_VNT_0_NA,1
CO_POSPAGO_COL-F3-SP-ESCALERA-B-TIPIFICACIONES-B-B2C_24-08-21_SMS_VNT_0_NA,1
CO_TERMINALES_COL-FABRICANTE-OPPO-OFERTAS-SA-B2C_24-10-07_DIS-DGEN_TRF,1
CO_TERMINALES_COL-C2C-PREVENTA-IPHONE-16-IPHONE-CUPO-B2C_24-09-14_SMS_VNT_0_NA,1
CO_TERMINALES_COL-FABRICANTE-MOTOROLA-B2C_24-09-16_DIS-RDA_TRF,1
CO_TERMINALES_COL-BF-XIAOMI-REDMI-NOTE-12-LIBRES-BASE-PROB-BAJA-B2C_24-05-24_SMS_VNT_0_NA,1
CO_SVA_COL-WIN-SPORTS-B2C_23-03-22_PMAX_VNT_SNL_BBDD,1
CO_TERMINALES_COL-AUTOMATICA-BLACK-FRIDAY-B2C_23-10-20_VID-PRE_ALC,1
CO_TERMINALES_COL-AUTOMATICA-V-LIBRE-B2C_24-03-01_SHOP_VNT_AON_ABT,1
CO_PREPAGO_COL-RECARGAS-B2C_22-09-08_PMAX_VNT_AON_ABT,1
CO_TERMINALES_COL-ASPIRADORA-XIAOMI-MI-ROBOT-VACUUM-E5-LIBRES-B2C_24-10-26_SMS_VNT_0_NA,1
CO_PREPAGO_COL-CAPTACION-B2C_24-10-15_PMAX_VNT_AON_ABT,1
CO_POSPAGO_COL-OFERTAS-Z-AUTOGESTION-B2C_23-11-01_PMAX_LDS-WEB_SNL_ABT,1
CO_POSPAGO_COL-TAB-OFERTAS-B2C_24-07-19_DIS_VNT,1
CO_POSPAGO_COL-PORTABILIDAD-MAXMARCACIONES-LAS-DEMAS-B2C_24-05-11_SMS_VNT_0_NA,1
CO_PREPAGO_COL-LINEA-NUEVA-B2C_24-05-22_DIS_TRF,1
